3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779927 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779926 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779928 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764705 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764802 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764801 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764768 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764770 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764787 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764789 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764790 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764800 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764796 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:28:06.077,2020-04-27 18:28:06.077,"FHP ","E764800 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764796 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764794 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764790 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764789 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764787 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764770 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764768 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764767 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
